,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xix,Семантическая когорта
685,заливаться,глагол,1,0,0,0,1,0,1,0,13.098379633561748,звучать
706,запах,существительное,1,0,0,0,0,1,0,0,48.94308418295414,запах
711,запашок,существительное,1,0,0,0,0,1,0,0,0.11943811216013753,вонь
727,застылый,причастие,1,1,0,0,0,0,0,0,5.188922428290419,температура
728,засуха,существительное,1,1,0,0,0,0,0,0,5.374715047206188,атмосфера
729,засушливый,прилагательное,1,1,0,0,0,0,0,0,0.11943811216013753,атмосфера
733,затверделый,прилагательное,1,1,0,0,0,0,0,0,0.3450434351292862,осязание
734,затвердеть,глагол,1,1,0,0,0,0,0,0,0.4777524486405501,осязание
743,затхлый,прилагательное,1,0,0,1,0,1,0,0,2.0171770053712117,запах
748,зачерствелый,прилагательное,1,1,0,0,0,0,1,0,0.42466884323604454,вкусный
749,зачерстветь,глагол,1,1,0,0,0,0,1,0,0.6370032648540668,вкусный
753,звенеть,глагол,1,0,0,0,1,0,0,0,11.558955076831086,звучать
755,звенящий,причастие,1,0,0,0,1,0,0,0,1.725217175646431,звучать
756,звон,существительное,1,0,0,0,1,0,0,0,28.121039963036825,звучать
757,звонить,глагол,1,0,0,0,1,0,0,0,14.239677149758618,звучать
758,звонкий,прилагательное,1,0,0,0,1,0,0,0,17.424693474028953,звучать
759,звонко,наречие,1,0,0,0,1,0,0,0,7.949269909324708,звучать
760,звонкость,существительное,1,0,0,0,1,0,0,0,0.11943811216013753,звучать
761,звонок,существительное,1,0,0,0,1,0,0,0,24.5378965982327,звучать
763,звук,существительное,1,0,0,0,1,0,0,0,131.47481968560916,звучать
764,звучание,существительное,0,0,0,0,1,1,0,аромат,0.4777524486405501,звучать
768,здоровенный,прилагательное,1,0,1,0,0,0,0,0,4.950046203970144,размер 
775,зеленовато-голубой,прилагательное,1,0,1,0,0,0,0,0,0.25214712567140146,цвет
776,зеленоватый,прилагательное,1,0,1,0,0,0,0,0,4.950046203970144,цвет
783,землистый,прилагательное,1,0,1,0,0,0,0,0,1.088213910792364,цвет
788,златой,прилагательное,1,0,1,0,0,0,0,0,3.1584745215680816,цвет
789,зловоние,существительное,1,0,0,0,0,1,0,0,1.831384386455442,вонь
791,зловонный,прилагательное,1,0,0,0,0,1,0,0,1.61904996483742,вонь
795,зной,существительное,1,1,0,0,0,0,0,0,10.44419936333647,атмосфера
797,знойно,наречие,1,1,0,0,0,0,0,0,0.2786889283736542,атмосфера
798,знойный,существительное,1,1,0,0,0,0,1,0,6.316949043136163,атмосфера
799,золотенький,прилагательное,1,0,1,0,0,0,0,0,0.1327090135112639,цвет
800,золотисто-красный,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
801,золотистый,прилагательное,1,0,1,0,0,0,0,0,7.8829154025690755,цвет
820,зябко,наречие,1,1,0,0,0,0,0,0,0.18579261891576948,температура
826,изгиб,существительное,0,1,1,0,0,0,0,гибкий,5.613591271526463,форма
827,изгибать,глагол,0,1,1,0,0,0,0,гибкий,0.22560532296914865,форма
828,изгибаться,глагол,0,1,1,0,0,0,0,гибкий,2.601096664820773,форма
836,издавание,существительное,1,0,0,0,1,0,0,0,0.06635450675563195,звучать
858,изумрудный,прилагательное,1,0,1,0,0,0,1,0,2.9461400999500587,цвет
865,индиго,прилагательное,1,0,1,0,0,0,1,0,1.154568417547996,цвет
874,искривить,глагол,1,0,1,0,0,0,0,0,2.9992237053545647,форма
875,искривиться,глагол,1,0,1,0,0,0,0,0,0.8891503905254683,форма
876,искривление,существительное,1,0,1,0,0,0,0,0,0.5573778567473084,форма
913,какофония,существительное,1,0,0,0,1,0,0,0,0.19906352026689586,музыка
917,камертон,существительное,1,0,0,0,1,0,0,0,1.6986753729441781,музыка
919,канареечный,прилагательное,1,0,1,0,0,0,1,0,0.3450434351292862,цвет
921,караковый,прилагательное,1,0,1,0,0,0,0,0,0.5308360540450556,цвет
923,карий,прилагательное,1,0,1,0,0,0,0,0,5.096026118832534,цвет
925,кармазинный,прилагательное,1,0,1,0,0,0,0,0,0.5042942513428029,цвет
929,карминовый,прилагательное,1,0,1,0,0,0,0,0,0.06635450675563195,цвет
940,каштановый,прилагательное,1,0,1,0,0,0,0,0,3.3708089431861037,цвет
941,квадрат,существительное,1,0,1,0,0,0,0,0,5.082755217481409,форма
942,квадратный,прилагательное,1,0,1,0,0,0,0,0,8.93131660930806,форма
944,квас,существительное,0,0,0,1,0,1,1,0,15.221723849741972,вкусный
947,квашеный,прилагательное,1,0,0,1,0,0,0,0,0.5175651526939292,вкусный
954,кирпично-красный,прилагательное,1,0,1,0,0,0,1,0,0.1327090135112639,цвет
956,кисленький,прилагательное,1,0,0,1,0,0,0,0,0.7298995743119516,вкусный
959,кисло,наречие,1,0,0,1,0,0,0,0,1.6986753729441781,вкусный
960,кисловато,наречие,1,0,0,1,0,0,0,0,0.10616721080901113,вкусный
961,кислота,существительное,1,0,0,1,0,0,1,0,88.87522634849344,вкусный
962,кислотность,существительное,1,0,0,1,0,0,0,0,0.2786889283736542,вкусный
963,кислый,прилагательное,1,0,0,1,0,0,1,0,17.87590411996725,вкусный
964,кислятина,существительное,1,0,0,1,0,0,0,0,0.676815968907446,вкусный
969,колкий,прилагательное,1,1,0,0,0,0,1,0,2.6939929742786575,осязание
970,колко,наречие,1,1,0,0,0,0,1,0,0.8891503905254683,осязание
973,колоритный,прилагательное,0,0,1,1,0,1,0,0,0.30523073107590704,яркость
977,колючий,прилагательное,1,1,0,0,0,0,0,0,5.268547836397177,осязание
978,колющий,прилагательное,1,1,0,0,0,0,0,0,0.1725217175646431,осязание
992,коралловый,прилагательное,1,0,1,0,0,0,1,0,1.28727743105926,цвет
994,коричневатый,прилагательное,1,0,1,0,0,0,0,0,0.14597991486239031,цвет
998,коричневый,прилагательное,1,0,1,0,0,0,0,0,10.019530520100425,цвет
1001,коротенек,наречие,0,0,1,0,1,0,0,0,0.7697122783653307,размер
1003,коротенький,прилагательное,0,0,1,0,1,0,0,0,15.181911145688593,размер
1005,короткий,прилагательное,0,0,1,0,1,0,0,0,93.9845233686771,размер
1006,коротко,наречие,0,0,1,0,1,0,0,0,24.02033144553877,размер
1008,коротковатый,прилагательное,0,0,1,0,1,0,0,0,0.06635450675563195,размер
1011,корявый,прилагательное,1,0,1,0,0,0,0,0,2.8665146918433004,форма
1013,красненький,прилагательное,1,0,1,0,0,0,0,0,3.3840798445372298,цвет
1015,красно-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.07962540810675835,цвет
