,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
401,гладенький,прилагательное,1,1,1,0,0,0,0,0,0.16278799842225872,0.6370032648540668,0.6057463521954671,0.6908877320101758,осязание
402,гладкий,прилагательное,1,1,1,0,0,0,1,0,27.348383734939464,22.149134355029947,24.37606872455552,23.161188730245897,осязание
403,гладко,наречие,1,1,1,0,0,0,1,0,5.209215949512279,9.435610860650865,14.590131965811509,8.921224920480604,осязание
404,гладчайший,прилагательное,1,1,1,0,0,0,0,0,0.0,0.0,0.010443902624059778,0.005483235968334729,осязание
409,глас,существительное,1,0,0,0,1,0,0,0,137.39307066838634,13.231088647073012,5.733702540608818,5.1761747541079846,звучать
417,глиссандо,существительное,1,0,0,0,1,0,0,0,0.0,0.0,0.06266341574435866,0.16449707905004188,музыка
425,глубина,существительное,0,0,1,1,1,0,0,0,101.90528701233397,99.58484373885244,133.6401779774689,125.25904246063857,размер
427,глубокий-глубокий,прилагательное,0,0,1,1,1,0,0,0,0.0,0.03981270405337917,0.20887805248119556,0.08224853952502094,размер
428,глубокий-преглубокий,прилагательное,0,0,1,1,1,0,0,0,0.0,0.013270901351126392,0.0,0.0,размер
429,глубоко,наречие,0,0,1,1,1,0,0,0,27.022807738094947,83.11565516210459,95.4990455944026,61.82896877894241,размер
430,глубоко-глубоко,наречие,0,0,1,1,1,0,0,0,0.0,0.42466884323604454,0.5013073259548693,0.31802768616341426,размер
432,глубоконек,прилагательное,0,0,1,1,1,0,0,0,0.0,0.0,0.010443902624059778,0.0,размер
433,глубоконький,прилагательное,0,0,1,1,1,0,0,0,0.0,0.0,0.010443902624059778,0.005483235968334729,размер
436,глубоченный,прилагательное,0,0,1,1,1,0,0,0,0.0,0.013270901351126392,0.03133170787217933,0.0767653035566862,размер
455,гнедой,прилагательное,1,0,1,0,0,0,0,0,0.9767279905335524,2.8797855931944274,5.096624480541172,1.7052863861521008,цвет
456,гнилостный,прилагательное,1,0,0,0,0,1,0,0,0.4883639952667762,0.7033577716096988,0.5953024495714073,0.7292703837885189,вонь
461,голос,существительное,1,0,0,0,1,0,0,0,157.7415704711687,518.6533666047217,603.281591176189,417.537452516753,голос
462,голубенький,прилагательное,1,0,1,0,0,0,0,0,0.0,0.7166286729608251,1.8799024723307598,1.4201581157986949,цвет
463,голубовато-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.1327090135112639,0.6788536705638856,0.29061150632174065,цвет
464,голубовато-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.020887805248119555,0.021932943873338915,цвет
465,голубоватый,прилагательное,1,0,1,0,0,0,0,0,0.4883639952667762,1.9242806959133267,6.652765971526078,5.653216283353105,цвет
466,голубой,прилагательное,1,0,1,0,0,0,0,0,18.395043821715234,51.7963279734463,93.56692360895154,74.24301501125223,цвет
468,гомон,существительное,1,0,0,0,1,0,0,0,0.0,0.7829831797164571,3.791136652533699,2.873215647407398,звучать
470,горечь,существительное,1,0,0,1,0,0,1,0,3.418547966867433,17.10619184160192,21.702429652796216,19.788998609720036,вкусный
475,горчинка,существительное,1,0,0,1,0,0,0,0,0.0,0.0,0.07310731836841844,0.4057594616567699,вкусный
476,горчить,глагол,1,0,0,1,0,0,0,0,0.0,0.03981270405337917,0.21932195510525532,0.8334518671868788,вкусный
477,горький,прилагательное,0,0,0,1,0,1,1,0,38.2551796292308,67.77449320020249,119.2067045510183,79.53982095666359,вкусный
478,горький-горький,прилагательное,0,0,0,1,0,1,1,0,0.0,0.05308360540450557,0.010443902624059778,0.016449707905004187,вкусный
479,горький-прегорький,прилагательное,0,0,0,1,0,1,1,0,0.0,0.0,0.020887805248119555,0.021932943873338915,вкусный
480,горько,наречие,0,0,0,1,0,1,1,0,7.4882479274239016,38.140570483137246,25.20113703185624,18.357874021984674,вкусный
481,горько-прегорько,наречие,0,0,0,1,0,1,1,0,0.0,0.05308360540450557,0.04177561049623911,0.010966471936669457,вкусный
483,горьковато-сладкий,прилагательное,1,0,0,1,0,0,0,0,0.0,0.0,0.03133170787217933,0.0383826517783431,вкусный
484,горьковатый,прилагательное,0,0,0,1,0,1,0,0,0.9767279905335524,0.3981270405337917,1.3785951463758905,1.9904146565055065,вкусный
486,горьконький,прилагательное,1,0,0,1,0,0,1,0,0.0,0.11943811216013753,0.010443902624059778,0.0,вкусный
488,горькость,существительное,1,0,0,1,0,0,0,0,0.9767279905335524,0.026541802702252783,0.010443902624059778,0.0383826517783431,вкусный
489,горькота,существительное,1,0,0,1,0,0,0,0,0.0,0.0,0.010443902624059778,0.0,вкусный
492,горячеватый,прилагательное,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.005483235968334729,температура
493,горячейший,прилагательное,1,1,0,0,0,0,1,0,0.16278799842225872,0.0,0.0,0.0,температура
494,горяченький,прилагательное,1,1,0,0,0,0,0,0,0.0,1.0749430094412378,0.7624048915563637,0.6799212600735064,температура
495,горячий,прилагательное,1,1,0,0,0,0,1,0,38.906331622919836,83.60667851209627,110.94557757538702,90.10601666764461,температура
496,горячо,наречие,1,1,0,0,0,0,1,0,4.720851954245503,47.52309773838361,43.540630039705206,19.997361576516756,температура
