,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,xviii,xix,pre1950,post1950,Семантическая когорта
788,златой,прилагательное,1,0,1,0,0,0,0,0,197.0,238.0,135.0,156.0,цвет
789,зловоние,существительное,1,0,0,0,0,1,0,0,18.0,138.0,228.0,209.0,вонь
790,зловонно,наречие,1,0,0,0,0,1,0,0,0.0,1.0,6.0,17.0,вонь
791,зловонный,прилагательное,1,0,0,0,0,1,0,0,3.0,122.0,273.0,425.0,вонь
793,знобкий,прилагательное,1,1,0,0,0,0,0,0,0.0,2.0,21.0,46.0,температура
794,знобко,наречие,1,1,0,0,0,0,0,0,0.0,2.0,6.0,44.0,температура
795,зной,существительное,1,1,0,0,0,0,0,0,100.0,787.0,1263.0,1234.0,атмосфера
796,знойкий,прилагательное,1,1,0,0,0,0,0,0,0.0,0.0,6.0,46.0,атмосфера
797,знойно,наречие,1,1,0,0,0,0,0,0,0.0,21.0,82.0,39.0,атмосфера
798,знойный,существительное,1,1,0,0,0,0,1,0,33.0,476.0,806.0,854.0,атмосфера
799,золотенький,прилагательное,1,0,1,0,0,0,0,0,0.0,10.0,19.0,19.0,цвет
800,золотисто-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,5.0,15.0,11.0,цвет
801,золотистый,прилагательное,1,0,1,0,0,0,0,0,6.0,594.0,1374.0,2166.0,цвет
820,зябко,наречие,1,1,0,0,0,0,0,0,0.0,14.0,244.0,799.0,температура
823,избура-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,0.0,0.0,цвет
824,известково-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,3.0,цвет
826,изгиб,существительное,0,1,1,0,0,0,0,гибкий,14.0,423.0,614.0,1420.0,форма
827,изгибать,глагол,0,1,1,0,0,0,0,гибкий,3.0,17.0,72.0,169.0,форма
828,изгибаться,глагол,0,1,1,0,0,0,0,гибкий,7.0,196.0,364.0,599.0,форма
836,издавание,существительное,1,0,0,0,1,0,0,0,0.0,5.0,1.0,0.0,звучать
842,изжелта-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,4.0,3.0,цвет
843,иззелена-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,цвет
858,изумрудный,прилагательное,1,0,1,0,0,0,1,0,3.0,222.0,567.0,883.0,цвет
865,индиго,прилагательное,1,0,1,0,0,0,1,0,7.0,87.0,26.0,258.0,цвет
866,индиговый,прилагательное,1,0,1,0,0,0,1,0,0.0,1.0,6.0,21.0,цвет
874,искривить,глагол,1,0,1,0,0,0,0,0,13.0,226.0,356.0,512.0,форма
875,искривиться,глагол,1,0,1,0,0,0,0,0,1.0,67.0,96.0,101.0,форма
876,искривление,существительное,1,0,1,0,0,0,0,0,0.0,42.0,101.0,229.0,форма
887,иссера-белый,прилагательное,1,0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,цвет
888,иссера-голубой,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,2.0,0.0,цвет
895,иссиня-белый,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,13.0,15.0,цвет
896,иссиня-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,2.0,цвет
908,исчерна-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,1.0,2.0,цвет
909,исчерна-синий,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,6.0,3.0,цвет
910,исчерна-фиолетовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,цвет
913,какофония,существительное,1,0,0,0,1,0,0,0,0.0,15.0,77.0,179.0,музыка
917,камертон,существительное,1,0,0,0,1,0,0,0,0.0,128.0,112.0,231.0,музыка
919,канареечный,прилагательное,1,0,1,0,0,0,1,0,0.0,26.0,77.0,112.0,цвет
921,караковый,прилагательное,1,0,1,0,0,0,0,0,0.0,40.0,73.0,23.0,цвет
922,карамельный,прилагательное,1,0,0,1,0,1,0,0,0.0,0.0,3.0,72.0,вкусный
923,карий,прилагательное,1,0,1,0,0,0,0,0,19.0,384.0,704.0,975.0,цвет
925,кармазинный,прилагательное,1,0,1,0,0,0,0,0,6.0,38.0,13.0,1.0,цвет
927,карминный,прилагательное,1,0,1,0,0,0,0,0,0.0,2.0,13.0,37.0,цвет
928,карминово-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,3.0,0.0,3.0,цвет
929,карминовый,прилагательное,1,0,1,0,0,0,0,0,0.0,5.0,12.0,15.0,цвет
935,каштаново-бурый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,цвет
936,каштаново-коричневый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,2.0,цвет
937,каштаново-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,цвет
940,каштановый,прилагательное,1,0,1,0,0,0,0,0,29.0,254.0,799.0,1375.0,цвет
941,квадрат,существительное,1,0,1,0,0,0,0,0,130.0,383.0,1145.0,3607.0,форма
942,квадратный,прилагательное,1,0,1,0,0,0,0,0,71.0,673.0,1604.0,5172.0,форма
944,квас,существительное,0,0,0,1,0,1,1,0,114.0,1147.0,957.0,969.0,вкусный
947,квашеный,прилагательное,1,0,0,1,0,0,0,0,5.0,39.0,51.0,387.0,вкусный
949,киноварно-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,цвет
950,киноварный,прилагательное,1,0,1,0,0,0,1,0,2.0,3.0,12.0,29.0,цвет
951,кипенный,прилагательное,1,0,1,0,0,0,1,0,0.0,0.0,7.0,14.0,цвет
954,кирпично-красный,прилагательное,1,0,1,0,0,0,1,0,0.0,10.0,36.0,40.0,цвет
956,кисленький,прилагательное,1,0,0,1,0,0,0,0,0.0,55.0,102.0,72.0,вкусный
958,кислинка,существительное,1,0,0,1,0,0,0,0,0.0,0.0,7.0,50.0,вкусный
959,кисло,наречие,1,0,0,1,0,0,0,0,3.0,128.0,228.0,418.0,вкусный
960,кисловато,наречие,1,0,0,1,0,0,0,0,0.0,8.0,9.0,21.0,вкусный
961,кислота,существительное,1,0,0,1,0,0,1,0,85.0,6697.0,1704.0,6789.0,вкусный
962,кислотность,существительное,1,0,0,1,0,0,0,0,0.0,21.0,42.0,342.0,вкусный
963,кислый,прилагательное,1,0,0,1,0,0,1,0,100.0,1347.0,1329.0,2459.0,вкусный
964,кислятина,существительное,1,0,0,1,0,0,0,0,0.0,51.0,48.0,127.0,вкусный
969,колкий,прилагательное,1,1,0,0,0,0,1,0,14.0,203.0,182.0,282.0,осязание
970,колко,наречие,1,1,0,0,0,0,1,0,1.0,67.0,40.0,54.0,осязание
973,колоритный,прилагательное,0,0,1,1,0,1,0,0,0.0,23.0,108.0,691.0,яркость
974,колотун,существительное,1,1,0,0,0,0,1,0,0.0,0.0,1.0,51.0,температура
977,колючий,прилагательное,1,1,0,0,0,0,0,0,17.0,397.0,1578.0,3498.0,осязание
978,колющий,прилагательное,1,1,0,0,0,0,0,0,7.0,13.0,112.0,190.0,осязание
989,кораллово-красный,прилагательное,1,0,1,0,0,0,0,0,0.0,3.0,2.0,11.0,цвет
990,кораллово-оранжевый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,цвет
992,коралловый,прилагательное,1,0,1,0,0,0,1,0,7.0,97.0,222.0,448.0,цвет
994,коричневатый,прилагательное,1,0,1,0,0,0,0,0,0.0,11.0,37.0,265.0,цвет
995,коричневенький,прилагательное,1,0,1,0,0,0,0,0,0.0,1.0,2.0,6.0,цвет
996,коричнево-розовый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,4.0,2.0,цвет
997,коричнево-серый,прилагательное,1,0,1,0,0,0,0,0,0.0,0.0,12.0,13.0,цвет
998,коричневый,прилагательное,1,0,1,0,0,0,0,0,1.0,755.0,2266.0,4800.0,цвет
1001,коротенек,наречие,0,0,1,0,1,0,0,0,1.0,58.0,19.0,44.0,размер
1003,коротенький,прилагательное,0,0,1,0,1,0,0,0,16.0,1144.0,1146.0,1185.0,размер
1005,короткий,прилагательное,0,0,1,0,1,0,0,0,371.0,7082.0,11318.0,23005.0,размер
