,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,pre1950,Семантическая когорта
1024,красный,прилагательное,1,0,1,0,0,0,0,0,420.68039769712783,цвет
1027,красочно,наречие,0,0,1,1,0,0,1,светлый,1.451702464744309,яркость
1028,красочность,существительное,0,0,1,1,0,0,1,0,0.9190634309172604,яркость
1029,красочный,прилагательное,0,0,1,1,0,0,1,яркий,7.01830256336817,яркость
1035,кремовый,прилагательное,1,0,1,0,0,0,1,0,1.451702464744309,цвет
1039,кривой,прилагательное,1,0,1,0,0,0,0,0,13.681512437518307,форма
1040,кроваво-красный,прилагательное,1,0,1,0,0,0,1,0,1.0548341650300375,цвет
1045,крохотный,прилагательное,1,0,1,0,0,0,0,0,14.015717321488221,размер
1048,крошечный,прилагательное,1,0,1,0,0,0,0,0,19.822527180465457,размер
1049,круг,существительное,1,0,1,0,0,0,0,0,158.98752964606197,форма
1052,круглый,прилагательное,1,0,1,0,0,0,0,0,87.4990161843728,форма
1054,крючковатый,прилагательное,1,0,1,0,0,0,0,0,1.8694585697067,форма
1055,кумачный,прилагательное,1,0,1,0,0,0,0,0,0.5326390338270486,цвет
1056,кумачовый,прилагательное,1,0,1,0,0,0,0,0,1.3785951463758905,цвет
1059,лазоревый,прилагательное,1,0,1,0,0,0,0,0,1.9530097906991781,цвет
1063,лазурный,прилагательное,1,0,1,0,0,0,0,0,3.718029334165281,цвет
1064,лакомый,прилагательное,1,0,0,1,0,0,1,0,2.3916537009096888,вкусный
1073,леденящий,прилагательное,1,1,0,0,0,0,1,0,1.8694585697067,температура
1074,ледышка,существительное,1,1,0,0,0,0,0,0,0.3133170787217933,температура
1075,ледяной,прилагательное,1,1,0,0,0,0,0,0,36.52232747633704,температура
1077,лилейный,прилагательное,1,0,1,0,0,0,0,0,0.21932195510525532,цвет
1078,лиловатый,прилагательное,1,0,1,0,0,0,0,0,1.3890390489999502,цвет
1079,лиловый,прилагательное,1,0,1,0,0,0,0,0,14.830341726164884,цвет
1082,лимонный,прилагательное,0,0,1,1,0,0,0,0,2.7363024875036617,цвет
1083,ломкий,прилагательное,1,1,0,0,0,0,0,0,1.8694585697067,осязание
1084,ломко,наречие,1,1,0,0,0,0,0,0,0.08355122099247822,осязание
1104,малахитовый,прилагательное,1,0,1,0,0,0,1,0,1.8485707644585805,цвет
1105,маленький,прилагательное,1,0,1,0,0,0,0,0,555.6260635026042,размер
1106,маленький-маленький,прилагательное,1,0,1,0,0,0,0,0,0.845956112548842,размер
1113,малиново-красный,прилагательное,1,0,1,0,0,0,0,0,0.08355122099247822,цвет
1115,малиновый,прилагательное,1,0,1,0,0,0,1,0,13.953053905743863,цвет
1128,малосольный,прилагательное,1,0,0,1,0,0,0,0,0.3133170787217933,вкусный
1131,малый,прилагательное,1,0,1,0,0,0,0,0,207.60389636106024,размер
1132,малюсенький,прилагательное,1,0,1,0,0,0,0,0,2.245439064172852,размер
1136,масленый,прилагательное,1,1,0,0,0,0,0,0,2.788522000623961,осязание
1137,маслянистый,прилагательное,1,1,0,0,0,0,0,0,1.9007902775788796,осязание
1141,матово-белый,прилагательное,1,0,1,0,0,0,0,0,0.25065366297743463,цвет
1145,матовый,прилагательное,0,1,1,0,0,0,0,0,9.608390414134995,яркость
