,Слово,Часть речи,Сенсорная эксклюзивность,Осязание,Зрение,Вкус,Слух,Запах,Устойчивая метафоричность,Дополнительно,post1950,Семантическая когорта
483,горьковато-сладкий,прилагательное,1,0,0,1,0,0,0,0,0.0383826517783431,вкусный
484,горьковатый,прилагательное,0,0,0,1,0,1,0,0,1.9904146565055065,вкусный
488,горькость,существительное,1,0,0,1,0,0,0,0,0.0383826517783431,вкусный
494,горяченький,прилагательное,1,1,0,0,0,0,0,0,0.6799212600735064,температура
495,горячий,прилагательное,1,1,0,0,0,0,1,0,90.10601666764461,температура
496,горячо,наречие,1,1,0,0,0,0,1,0,19.997361576516756,температура
497,гранатовый,прилагательное,1,0,1,0,0,0,1,0,1.2885604525586614,цвет
504,громадный,прилагательное,1,0,1,0,0,0,0,0,36.78154687558936,размер 
505,громкость,существительное,1,0,0,0,1,0,0,0,2.5826041410856573,звучать
509,громыхание,существительное,1,0,0,0,1,0,0,0,0.5757397766751466,звучать
510,громыхать,глагол,1,0,0,0,1,0,0,0,3.5037877837658917,звучать
512,грохотать,глагол,1,0,0,0,1,0,0,0,8.213887480565424,звучать
520,грязно-белый,прилагательное,1,0,1,0,0,0,0,0,0.6470218442634981,цвет
523,грязно-серый,прилагательное,1,0,1,0,0,0,0,0,0.5647733047384771,цвет
524,грязновато-серый,прилагательное,1,0,1,0,0,0,0,0,0.032899415810008374,цвет
526,гул,существительное,1,0,0,0,1,0,0,0,15.736887229120674,звучать
527,гулкий,прилагательное,1,0,0,0,1,0,0,0,7.758778895193642,звучать
528,гулко,наречие,1,0,0,0,1,0,0,0,5.444853316556386,звучать
529,гулкость,существительное,1,0,0,0,1,0,0,0,0.20287973082838495,звучать
531,гунявый,прилагательное,1,0,0,0,0,1,0,0,0.0383826517783431,вонь
535,густо-красный,прилагательное,1,0,1,0,0,0,0,0,0.09321501146169038,цвет
536,густо-синий,прилагательное,1,0,1,0,0,0,0,0,0.3947929897201005,цвет
544,двуострый,прилагательное,0,1,1,0,0,0,0,0,0.0383826517783431,осязание
546,деликатесный,прилагательное,1,0,0,1,0,0,0,0,0.7950692154085357,вкусный
